gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,revenue_per_tenure,charges_x_tenure,avg_monthly_revenue,total_services,high_value,contract_risk,fiber_risk,tenure_risk_med,tenure_risk_low,tenure_risk_vlow
1,1,0,0,-1.2774445836787656,1,0,-0.6484894399837535,-0.9874431472224552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5037027987105659,0.8284093226801218,-0.7669791459302416,1,0,1,0,0,0,0
0,0,1,1,1.6137012404433893,1,0,1.1678546811978192,2.1940585679967946,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.7192546584979571,1.8845685477065397,1.351269872404394,1,1,0,1,0,0,1
1,0,0,0,-1.1145631287986442,1,1,0.1641292930974807,-0.8675151742344638,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.14594938149254266,-0.1829324584422378,-0.7714241664327184,1,0,1,1,0,0,0
0,0,0,0,0.5549717837226001,1,1,0.3336325871144251,0.5590824768363802,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5905296454207313,0.18515667197887828,0.9895759274075331,1,0,1,1,0,1,0
1,0,0,0,0.0663274190822359,1,1,1.3822264942192488,0.559501882595035,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,18.1091737522269,0.09167951594864983,7.33028693125628,1,1,1,1,0,1,0
0,0,0,0,-0.8702409464784621,1,1,1.099721004191008,-0.5194083945509333,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1.2493408862546207,-0.9570222475494274,-0.5900752477249618,1,1,1,1,1,0,0
1,0,1,1,-0.9109613101984924,1,0,-0.5055748979694671,-0.79740819057721,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.548964318447321,0.46055917145773484,-0.865843311490845,1,0,0,0,1,0,0
0,0,1,1,1.5322605130033284,1,1,0.1475113230958195,1.1436237344647615,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0.09564617770610141,0.2260257756006001,0.7415243565029881,1,0,0,0,0,0,1
0,0,1,1,-0.62591876415828,1,0,-1.462769970065154,-0.82277120198218,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,-2.3002465920333672,0.9155751719110253,-1.2938306720218002,1,0,0,0,1,0,0
0,0,0,0,1.247217966963116,1,1,0.5014740841312035,1.1388116052338793,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0.3988760082251638,0.6254474876948103,0.9058187483469916,1,0,0,0,0,0,1
0,0,1,0,-0.7888002190384014,1,1,0.3801629031190768,-0.5741298090617433,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.47591737465560324,-0.29987258125060234,-0.7187401747997552,1,0,1,0,1,0,0
0,0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.7173088177857488,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.9547224840008571,0.44421352462496105,1.0439157315944303,1,0,1,1,0,1,0
1,0,0,0,-1.2367242199587352,1,0,-0.5155456799704636,-0.9645965703694144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4135202250161848,0.6375878289145673,-0.7737048458089161,1,0,1,0,0,0,0
0,0,0,0,-1.2367242199587352,1,1,0.5280628361338618,-0.9437808003477548,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.4235602611067747,-0.6530680991068477,-0.7570084748806698,1,0,1,1,0,0,0
1,0,0,0,0.7992939660427822,1,1,0.4981504901308714,0.8546531667515656,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0.6155371361122163,0.39816868094286006,1.0560478671681897,1,0,0,0,0,1,0
0,0,1,1,1.4915401492832985,1,1,-0.0203301739209587,0.8706788815296407,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,-0.013539547331226885,-0.030323270645022164,0.5798572099089226,1,0,0,0,0,0,1
0,1,0,0,0.4328106925625091,1,1,0.8471278601657574,0.687310269048278,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.9130700192976327,0.3666459958473378,1.5521537320403667,1,1,1,1,0,1,0
0,0,0,0,-0.7073594915983407,1,1,1.141265929195161,-0.3776933961001872,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1.5909260873544995,-0.807285287453997,-0.5265050515448716,1,1,1,1,1,0,0
0,1,1,0,-0.3001558543980371,1,1,0.1574821050968162,-0.2336606289831906,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.5077515154516873,-0.04726917580773634,-0.7533652054922145,1,0,1,0,1,0,0
0,1,1,0,-0.9924020376385532,1,1,0.5280628361338618,-0.7278309826150992,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5267974488338691,-0.5240506345804379,-0.7260868945654927,1,0,1,1,0,0,0
0,1,1,1,1.125056875803025,1,1,0.3352943841145911,0.9599681601485298,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0.295398751606503,0.3772252522662613,0.845744544271736,1,0,0,0,0,0,1
1,1,0,0,-0.5851984004382496,1,1,1.0199547481830342,-0.2337047769577859,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.7136382547937512,-0.5968758871561093,-0.39265021005719625,1,1,1,1,1,0,0
0,0,1,1,1.247217966963116,1,1,1.1595456961969886,1.7788468669284871,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0.9223107899085624,1.446206225811639,1.4149072902810929,1,1,0,1,0,0,1
1,1,1,1,1.369379058123207,1,1,1.4520219682262263,2.116645094544028,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1.0526634862804556,1.988368475223835,1.5344912495800467,1,1,0,1,0,0,1
0,0,1,1,0.0663274190822359,1,0,-1.3231790220511994,-0.612604768921502,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,-17.335566143348743,-0.08776304951641296,-8.026011835425429,1,0,0,0,0,1,0
0,0,0,0,1.6137012404433893,1,1,1.42044782522307,2.4598293750601874,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0.8748209275464885,2.2921784175475826,1.5149519590121603,1,1,0,1,0,0,1
0,0,1,0,0.5956921474426305,1,1,1.1877962451998123,1.070669206446114,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.9610560417779181,0.7075608960273695,1.7676788628789757,1,1,1,1,0,1,0
1,0,0,0,1.125056875803025,1,1,0.8354952811645946,1.398953545536378,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7360823047510303,0.9399797107752088,1.2324964284689721,1,1,1,1,0,0,1
1,0,1,0,1.6137012404433893,0,0,-0.7531826509942192,0.3002429017844411,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.4638677561079803,-1.215411778189812,0.18491265160483145,0,0,0,0,0,0,1
0,0,1,1,-0.5851984004382496,1,1,-0.344380588953353,-0.5848798408756862,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,-0.5785979745573622,0.2015309697974845,-0.9826636638220706,1,0,0,0,1,0,0
0,0,0,0,-0.9516816739185228,1,0,0.9850570111795456,-0.6289615935090412,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.0243067304857503,-0.937460705304527,-0.6540226465439843,1,1,1,1,1,0,0
0,0,0,0,-1.1960038562387048,1,1,0.3502505571160864,-0.8996548997398044,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.29042241888715914,-0.418901016960594,-0.7459801186255373,1,0,1,0,0,0,0
1,0,1,0,0.5956921474426305,1,1,0.4698999411280475,0.6041354849108307,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.7758065596723872,0.2799157050137323,0.9974299443399218,1,0,0,1,0,1,0
0,0,0,0,-0.055833672077855,1,0,0.4798707231290441,0.0950431158657282,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,7.289138035040007,-0.0267929445949502,1.4436854707622881,1,0,0,0,0,1,0
0,0,1,1,0.7178532386027215,1,0,-1.4827115340671475,-0.5964466102196411,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-2.037102337984436,-1.0643692766437114,-0.8194599935622391,1,0,0,0,0,1,0
1,0,0,0,-0.9109613101984924,1,1,0.5014740841312035,-0.6156730531558716,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.544511564794315,-0.4568234887107502,-0.6685113113201001,1,0,1,1,1,0,0
1,0,0,0,-1.2774445836787656,1,0,-0.5221928679711283,-0.9857655241878356,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.40560415150375306,0.6670724508253986,-0.7656760816617775,1,0,1,0,0,0,0
0,0,1,1,0.7992939660427822,1,1,-1.4744025490663168,-0.5259202208037324,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,-1.821838060001518,-1.1784810609868042,-0.6498506635052933,1,0,0,0,0,1,0
1,1,1,1,1.2879383306831464,1,1,1.5567151792366918,2.126644610789852,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1.1993753034609456,2.0049531492952197,1.6384789327167268,1,1,0,1,0,0,1
1,0,1,1,1.2064976032430856,1,1,-1.3464441800535252,-0.3784880596429018,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-1.106820248937616,-1.6244816761351797,-0.31112930977741576,1,0,0,0,0,0,1
0,0,0,1,-1.1960038562387048,1,1,-0.0086975949197961,-0.9291015987948348,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.007211913025653363,0.010402357064078303,-0.7703968722724692,1,0,1,0,0,0,0
0,1,0,0,0.9621754209229036,1,0,1.5201556452330371,1.7030447945484464,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1.5636639360722842,1.4626563978204257,1.7517875456383327,1,1,0,1,0,0,1
0,0,0,0,0.5549717837226001,1,0,-0.3028356639492,0.1796527091775211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.5360190945356867,-0.16806524859670544,0.31798527705895163,1,0,0,0,0,1,0
0,0,1,1,-0.9924020376385532,1,0,-0.3360716039525224,-0.7945164982412213,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.33526628172488143,0.33351814455494005,-0.7926126129122142,1,0,1,0,0,0,0
1,1,0,0,-0.0965540357978854,1,1,0.3319707901142591,-0.0753239180973336,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3.115515875381298,-0.03205311955254448,-0.7069081666715099,1,0,1,0,0,1,0
0,0,1,1,0.5142514200025698,1,1,-1.2916048790480432,-0.4703158468010176,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,-2.4637126954118918,-0.6642096431327037,-0.8971188800951883,1,0,0,0,0,1,0
0,0,0,1,-1.2774445836787656,1,1,0.4848561141295422,-0.9723886878854756,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.3766034828032025,-0.6193768168583171,-0.7552858586790244,1,0,1,1,0,0,0
0,0,1,1,-0.8702409464784621,0,0,-0.4723389579661445,-0.7578295313525703,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-0.5366018927610768,0.4110487018391081,-0.860934195783987,0,0,1,0,1,0,0
0,0,1,0,-1.0331224013585834,1,1,0.3452651661155883,-0.7880488199630175,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3309919964003343,-0.3567011775228067,-0.7554710923057993,1,0,1,1,0,0,0
0,0,0,0,0.3920903288424788,1,1,1.2974748472107769,0.9030834948825526,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,3.2268243082242103,0.5087273395077184,2.2459716887056507,1,1,1,1,0,1,0
0,0,1,0,0.6771328748826912,1,1,-1.4827115340671475,-0.5777057950039584,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-2.1578236004503193,-1.003992723684613,-0.8407482979221238,1,0,0,0,0,1,0
1,0,0,0,-0.9516816739185228,1,1,1.1479131171958254,-0.6018105891329637,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1.1936518583311184,-1.0924478768859525,-0.6257898070166941,1,1,1,1,1,0,0
0,0,1,0,0.1070477828022663,1,1,-0.0868020539276039,-0.0293438025563829,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.7415950293927586,-0.009291967415632749,-0.2506993456335231,1,0,0,0,0,1,0
0,0,1,1,0.6364125111626608,1,0,-1.4660935640654862,-0.5407760142550334,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-2.26804639258686,-0.9330402867063314,-0.8365803645761345,1,0,0,0,0,1,0
0,0,1,1,0.5549717837226001,1,1,-1.4893587220678115,-0.5981242332542606,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,-2.6361647873003924,-0.8265520665887857,-1.0586798323151978,1,0,0,0,0,1,0
1,0,1,0,-0.1372743995179157,0,0,-1.030702750021962,-0.5618566721242643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-6.998519453454493,0.14148910109072924,-3.8150328499958692,0,0,1,0,1,1,0
1,0,1,1,-0.0965540357978854,1,0,0.574593152138513,0.1272711373202593,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.392504824767191,-0.0554792877808018,1.1944281262294998,1,0,1,1,0,1,0
1,1,0,0,-1.2774445836787656,1,0,0.3303089931140931,-0.9744415687041544,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.25656171714223436,-0.42195143419398495,-0.7568803978496448,1,0,1,1,0,0,0
1,0,1,1,1.369379058123207,1,1,0.6394032351449919,1.5153055325821545,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0.4635442530314825,0.8755853999037805,1.0985417849129087,1,0,0,0,0,0,1
0,0,0,0,1.3286586944031769,1,1,1.5384354122348645,2.130176448757471,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1.149236484749203,2.044055586243588,1.5912767441496218,1,1,1,1,0,0,1
1,0,0,0,1.6137012404433893,1,1,1.2010906212011416,2.2855993933200414,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0.7397239044253954,1.9382014253172033,1.4076477472517699,1,1,0,1,0,0,1
0,0,0,0,-0.8295205827584317,1,1,0.4715617381282135,-0.5980138633177725,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5617036053824821,-0.3911701678186946,-0.712327816136282,1,0,1,1,1,0,0
1,0,1,1,1.5729808767233588,1,1,0.0694068640880114,1.0890347638777371,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.04384567439101219,0.10917566992377918,0.6879645736036624,1,0,0,0,0,0,1
1,0,0,0,-1.1145631287986442,1,0,-1.4527991880641573,-0.957157636650115,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.2918787312688824,1.6192364085649171,-0.8511373102483217,1,0,1,0,0,0,0
1,0,0,0,0.7992939660427822,1,0,-1.4544609850643233,-0.5186137310082188,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-1.797197367201716,-1.1625418892065549,-0.6408224363071588,1,0,0,0,0,1,0
0,1,1,0,-0.3001558543980371,1,1,1.1213243651931677,0.1026807154707062,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,3.61535772835718,-0.33657207289189184,0.3310616711394761,1,1,1,1,1,0,0
1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9985022148585648,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.1503794072712668,1.8919589647750747,-0.7755690827526168,1,0,1,0,0,0,0
0,0,1,1,-1.2774445836787656,1,0,-1.505976692069473,-0.9988333246680292,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,-1.1697409823778746,1.9238017684306126,-0.7758262664898137,1,0,1,0,0,0,0
1,0,0,0,0.2292088739623573,1,0,1.0049985751815391,0.5843792662794571,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,4.201343196572586,0.23035459175113407,2.442966502870696,1,1,0,1,0,1,0
0,1,1,0,1.369379058123207,0,0,-0.6385186579827569,0.3290494552078404,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.4629029665359208,-0.8743740784625218,0.23854897119835025,0,0,0,0,0,0,1
